Well.ID;Treatment;Date;Day.of.death;Censoring;Comments
A1.1;toxin;2019.10.24 00:00;23;0;Euthanasia
A2.1;toxin.infection;2019.10.24 00:00;23;0;Dissection
A3.1;infection;2019.10.24 00:00;23;0;Dissection
A4.1;control;2019.10.24 00:00;23;0;Euthanasia
A5.1;toxin.infection;2019.10.24 00:00;23;0;Dissection
A6.1;toxin;2019.10.24 00:00;23;0;Euthanasia
B1.1;infection;2019.10.19 00:00;18;1;NA
B2.1;toxin.infection;2019.10.24 00:00;23;0;Dissection
B3.1;toxin;2019.10.24 00:00;23;0;Euthanasia
B4.1;infection;2019.10.24 00:00;23;0;Dissection
B5.1;infection;2019.10.24 00:00;23;0;Dissection
B6.1;toxin.infection;2019.10.24 00:00;23;0;Dissection
C1.1;toxin;2019.10.15 00:00;14;1;NA
C2.1;infection;2019.10.24 00:00;23;0;Dissection
C3.1;toxin.infection;2019.10.24 00:00;23;0;Dissection
C4.1;toxin.infection;2019.10.22 00:00;21;1;NA
C5.1;infection;2019.10.24 00:00;23;0;Dissection
C6.1;infection;2019.10.24 00:00;23;0;Dissection
D1.1;toxin.infection;2019.10.24 00:00;23;0;Dissection
D2.1;toxin;2019.10.24 00:00;23;0;Euthanasia
D3.1;control;2019.10.24 00:00;23;0;Euthanasia
D4.1;infection;2019.10.24 00:00;23;0;Dissection
D5.1;toxin.infection;2019.10.24 00:00;23;0;Dissection
D6.1;infection;2019.10.13 00:00;12;1;NA
A1.2;toxin.infection;2019.10.24 00:00;23;0;Dissection
A2.2;toxin;2019.10.24 00:00;23;0;Euthanasia
A3.2;infection;2019.10.17 00:00;16;1;Dissection
A4.2;infection;2019.10.24 00:00;23;0;Dissection
A5.2;toxin.infection;2019.10.24 00:00;23;0;Dissection
A6.2;infection;2019.10.24 00:00;23;0;Dissection
B1.2;toxin.infection;2019.10.24 00:00;23;0;Dissection
B2.2;toxin.infection;2019.10.24 00:00;23;0;Dissection
B3.2;infection;2019.10.24 00:00;23;0;Dissection
B4.2;toxin;2019.10.14 00:00;13;1;NA
B5.2;toxin.infection;2019.10.14 00:00;13;1;NA
B6.2;toxin.infection;2019.10.24 00:00;23;0;Dissection
C1.2;infection;2019.10.24 00:00;23;0;Dissection
C2.2;control;2019.10.24 00:00;23;0;Euthanasia
C3.2;toxin;2019.10.24 00:00;23;0;Euthanasia
C4.2;infection;2019.10.24 00:00;23;0;Dissection
C5.2;infection;2019.10.24 00:00;23;0;Dissection
C6.2;infection;2019.10.24 00:00;23;0;Dissection
D1.2;control;2019.10.24 00:00;23;0;Euthanasia
D2.2;infection;2019.10.24 00:00;23;0;Dissection
D3.2;toxin.infection;2019.10.12 00:00;11;1;NA
D4.2;toxin.infection;2019.10.16 00:00;15;1;NA
D5.2;toxin.infection;2019.10.24 00:00;23;0;Dissection
D6.2;control;2019.10.24 00:00;23;0;Dissection
A1.3;toxin.infection;2019.10.24 00:00;23;0;Dissection
A2.3;toxin;2019.10.24 00:00;23;0;Euthanasia
A3.3;infection;2019.10.24 00:00;23;0;Dissection
A4.2;toxin.infection;2019.10.24 00:00;23;0;Dissection
A5.3;infection;2019.10.24 00:00;23;0;Dissection
A6.3;toxin;2019.10.15 00:00;14;1;NA
B1.3;control;2019.10.24 00:00;23;0;Euthanasia
B2.3;toxin.infection;2019.10.24 00:00;23;0;Dissection
B3.3;control;2019.10.24 00:00;23;0;Euthanasia
B4.3;toxin.infection;2019.10.23 00:00;22;1;NA
B5.3;infection;2019.10.24 00:00;23;0;Dissection
B6.3;toxin.infection;2019.10.24 00:00;23;0;Dissection
C1.3;infection;2019.10.24 00:00;23;0;Dissection
C2.3;toxin.infection;2019.10.24 00:00;23;0;Dissection
C3.3;infection;2019.10.07 00:00;8;1;NA
C4.3;toxin.infection;2019.10.23 00:00;22;1;NA
C5.3;toxin;2019.10.24 00:00;23;0;Euthanasia
C6.3;infection;2019.10.24 00:00;23;0;Dissection
D1.3;toxin.infection;2019.10.14 00:00;13;1;NA
D2.3;control;2019.10.24 00:00;23;0;Euthanasia
D3.3;infection;2019.10.24 00:00;23;0;Dissection
D4.3;infection;2019.10.24 00:00;23;0;Dissection
D5.3;infection;2019.10.24 00:00;23;0;Dissection
D6.3;toxin.infection;2019.10.10 00:00;9;1;NA
A1.4;infection;2019.10.24 00:00;23;0;Dissection
A2.4;toxin.infection;2019.10.12 00:00;11;1;NA
A3.4;control;2019.10.24 00:00;23;0;Euthanasia
A4.4;toxin.infection;2019.10.24 00:00;23;0;Dissection
A5.4;control;2019.10.24 00:00;23;0;Euthanasia
A6.4;toxin.infection;2019.10.24 00:00;23;0;Dissection
B1.4;toxin;2019.10.15 00:00;14;1;NA
B2.4;infection;2019.10.07 00:00;6;1;NA
B3.4;infection;2019.10.24 00:00;23;0;Dissection
B4.4;toxin.infection;2019.10.24 00:00;23;0;Dissection
B5.4;infection;2019.10.24 00:00;23;0;Dissection
B6.4;control;2019.10.24 00:00;23;0;Euthanasia
C1.4;toxin.infection;2019.10.16 00:00;15;1;NA
C2.4;toxin.infection;2019.10.23 00:00;22;1;NA
C3.4;toxin;2019.10.24 00:00;23;0;Euthanasia
C4.4;toxin;2019.10.24 00:00;23;0;Euthanasia
C5.4;infection;2019.10.23 00:00;22;1;NA
C6.4;infection;2019.10.24 00:00;23;0;Dissection
D1.4;infection;2019.10.14 00:00;13;1;NA
D2.4;toxin.infection;2019.10.18 00:00;17;1;NA
D3.4;control;2019.10.24 00:00;23;0;Euthanasia
D4.4;toxin.infection;2019.10.23 00:00;22;1;NA
D5.4;toxin.infection;2019.10.24 00:00;23;0;Dissection
D6.4;infection;2019.10.20 00:00;19;1;NA
A1.5;control;2019.10.23 00:00;22;0;Euthanasia
A2.5;infection;2019.10.23 00:00;22;0;Dissection
A3.5;toxin.infection;2019.10.10 00:00;9;1;NA
A4.5;control;2019.10.23 00:00;22;0;Dissection
A5.5;infection;2019.10.23 00:00;22;0;Dissection
A6.5;toxin;2019.10.23 00:00;22;0;Euthanasia
B1.5;toxin.infection;2019.10.23 00:00;22;0;Dissection
B2.5;infection;2019.10.23 00:00;22;0;Dissection
B3.5;infection;2019.10.23 00:00;22;0;Dissection
B4.5;toxin.infection;2019.10.23 00:00;22;0;Dissection
B5.5;infection;2019.10.23 00:00;22;0;Dissection
B6.5;toxin.infection;2019.10.23 00:00;22;0;Dissection
C1.5;toxin.infection;2019.10.23 00:00;22;0;Dissection
C2.5;toxin.infection;2019.10.11 00:00;10;0;Mechanical.damage
C3.5;control;2019.10.23 00:00;22;0;Euthanasia
C4.5;toxin.infection;2019.10.23 00:00;22;0;Dissection
C5.5;infection;2019.10.23 00:00;22;0;Dissection
C6.5;toxin;2019.10.23 00:00;22;0;Euthanasia
D1.5;infection;2019.10.23 00:00;22;0;Dissection
D2.5;infection;2019.10.23 00:00;22;0;Dissection
D3.5;toxin.infection;2019.10.14 00:00;13;1;NA
D4.5;toxin.infection;2019.10.23 00:00;22;0;Dissection
D5.5;infection;2019.10.23 00:00;22;0;Dissection
D6.5;toxin;2019.10.23 00:00;22;0;Euthanasia
A1.6;infection;2019.10.24 00:00;23;0;Dissection
A2.6;toxin.infection;2019.10.24 00:00;23;0;Dissection
A3.6;toxin;2019.10.24 00:00;23;0;Euthanasia
A4.6;toxin;2019.10.14 00:00;13;0;Mechanical.damage
A5.6;infection;2019.10.24 00:00;23;0;Dissection
A6.6;toxin.infection;2019.10.15 00:00;14;1;NA
B1.6;control;2019.10.24 00:00;23;0;Euthanasia
B2.6;infection;2019.10.24 00:00;23;0;Dissection
B3.6;infection;2019.10.24 00:00;23;0;Dissection
B4.6;toxin.infection;2019.10.23 00:00;22;1;NA
B5.6;toxin.infection;2019.10.20 00:00;19;1;NA
B6.6;toxin;2019.10.24 00:00;23;0;Euthanasia
C1.6;toxin.infection;2019.10.19 00:00;18;1;NA
C2.6;toxin.infection;2019.10.22 00:00;21;1;NA
C3.6;infection;2019.10.24 00:00;23;0;Dissection
C4.6;control;2019.10.24 00:00;23;0;Euthanasia
C5.6;infection;2019.10.24 00:00;23;0;Dissection
C6.6;toxin.infection;2019.10.21 00:00;20;1;NA
D1.6;control;2019.10.24 00:00;23;0;Euthanasia
D2.6;infection;2019.10.24 00:00;23;0;Dissection
D3.6;infection;2019.10.24 00:00;23;0;Dissection
D4.6;toxin.infection;2019.10.02 00:00;1;1;NA
D5.6;infection;2019.10.24 00:00;23;0;Dissection
D6.6;toxin.infection;2019.10.21 00:00;20;1;NA
A1.7;infection;2019.10.23 00:00;22;0;Dissection
